method,fold,Accuracy,Balanced Accuracy,F1,ROC-AUC,PR-AUC
LogisticRegression,1,0.6875,0.6875,0.6153846153846154,0.53125,0.7103438228438228
RandomForest,1,0.5625,0.5625,0.36363636363636365,0.4375,0.6009154040404041
DAE_MLP,1,0.375,0.375,0.375,0.421875,0.6103438228438228
LogisticRegression,2,0.5,0.5,0.42857142857142855,0.421875,0.5491258741258741
RandomForest,2,0.4375,0.4375,0.3076923076923077,0.4375,0.5555555555555556
DAE_MLP,2,0.5625,0.5625,0.5333333333333333,0.546875,0.5703869047619048
LogisticRegression,3,0.6666666666666666,0.6607142857142857,0.7058823529411765,0.6071428571428571,0.6517857142857143
RandomForest,3,0.5333333333333333,0.5267857142857143,0.5882352941176471,0.6964285714285715,0.8319180819180819
DAE_MLP,3,0.5333333333333333,0.5267857142857143,0.5882352941176471,0.5714285714285714,0.7447916666666666
LogisticRegression,4,0.2,0.1875,0.0,0.1607142857142857,0.3478140906712336
RandomForest,4,0.5333333333333333,0.5267857142857143,0.46153846153846156,0.37499999999999994,0.46855049712192565
DAE_MLP,4,0.4,0.3839285714285714,0.18181818181818182,0.3214285714285714,0.42670068027210883
LogisticRegression,5,0.4666666666666667,0.4464285714285714,0.2,0.35714285714285715,0.5148732220160792
RandomForest,5,0.4666666666666667,0.45535714285714285,0.3333333333333333,0.30357142857142855,0.4304552590266876
DAE_MLP,5,0.4666666666666667,0.5,0.6363636363636364,0.5,0.5785190999476713
