method,precision,recall,threshold
LogisticRegression,0.4935064935064935,1.0,0.00025905179400587466
LogisticRegression,0.4868421052631579,0.9736842105263158,0.00031908730849808435
LogisticRegression,0.48,0.9473684210526315,0.0005831753897771994
LogisticRegression,0.47297297297297297,0.9210526315789473,0.00521031454797903
LogisticRegression,0.4657534246575342,0.8947368421052632,0.00716299094809254
LogisticRegression,0.4583333333333333,0.868421052631579,0.01284077906391672
LogisticRegression,0.4647887323943662,0.868421052631579,0.01859066985833805
LogisticRegression,0.45714285714285713,0.8421052631578947,0.018851568340657713
LogisticRegression,0.4492753623188406,0.8157894736842105,0.021681051232857993
LogisticRegression,0.45588235294117646,0.8157894736842105,0.02379585504685317
LogisticRegression,0.44776119402985076,0.7894736842105263,0.03183488305598932
LogisticRegression,0.45454545454545453,0.7894736842105263,0.03539176399757342
LogisticRegression,0.46153846153846156,0.7894736842105263,0.04053501739102515
LogisticRegression,0.46875,0.7894736842105263,0.040634529324507146
LogisticRegression,0.47619047619047616,0.7894736842105263,0.044241009307242
LogisticRegression,0.46774193548387094,0.7631578947368421,0.045688528639816796
LogisticRegression,0.45901639344262296,0.7368421052631579,0.07790280720350946
LogisticRegression,0.4666666666666667,0.7368421052631579,0.08032880701095411
LogisticRegression,0.4576271186440678,0.7105263157894737,0.08337805776456729
LogisticRegression,0.46551724137931033,0.7105263157894737,0.09227531128341719
LogisticRegression,0.45614035087719296,0.6842105263157895,0.1019826833292827
LogisticRegression,0.4642857142857143,0.6842105263157895,0.10968767704989484
LogisticRegression,0.4727272727272727,0.6842105263157895,0.11477616140321102
LogisticRegression,0.48148148148148145,0.6842105263157895,0.12506289165254578
LogisticRegression,0.49056603773584906,0.6842105263157895,0.12842321448016863
LogisticRegression,0.5,0.6842105263157895,0.1294216866617591
LogisticRegression,0.49019607843137253,0.6578947368421053,0.1328035019065671
LogisticRegression,0.48,0.631578947368421,0.1496603083402673
LogisticRegression,0.4897959183673469,0.631578947368421,0.1579458860828298
