feature,gene_symbol,gene_name
NP_002954,S100A7,protein S100-A7
NP_789793,S100A7A,protein S100-A7A
NP_477521,MUCL1,mucin-like protein 1 precursor
NP_005743,,C-type lectin domain family 3 member A isoform 1 precursor
NP_001231684,,C-type lectin domain family 3 member A isoform 2
NP_004107,FKBP1B,peptidyl-prolyl cis-trans isomerase FKBP1B isoform a
NP_005971,S100P,protein S100-P
NP_001154829,FCHO1,FCH domain only protein 1 isoform a
NP_004869,PTGES,prostaglandin E synthase
NP_001004489,OR2AG1,olfactory receptor 2AG1
NP_059118,CALML5,calmodulin-like protein 5
NP_004282,CARTPT,cocaine- and amphetamine-regulated transcript protein preproprotein
NP_057387,WBP5,WW domain-binding protein 5
NP_000660,,alcohol dehydrogenase 1C
NP_116175,ZC3H10,zinc finger CCCH domain-containing protein 10
NP_005969,S100A2,protein S100-A2
NP_001437,FABP7,"fatty acid-binding protein, brain"
NP_659453,GLYATL2,glycine N-acyltransferase-like protein 2
NP_002956,S100A9,protein S100-A9
NP_061962,HES2,transcription factor HES-2
NP_056994,C2ORF86,WD repeat-containing and planar cell polarity effector protein fritz homolog
NP_001472,GAS8,growth arrest-specific protein 8
NP_997255,SH2D4B,SH2 domain-containing protein 4B isoform 1
NP_002668,PMP2,myelin P2 protein
NP_004935,DNASE1L3,deoxyribonuclease gamma isoform 1 precursor
NP_000659,,alcohol dehydrogenase 1B
NP_005267,GPD1,glycerol-3-phosphate dehydrogenase
NP_006263,S100B,protein S100-B
NP_001129575,TMEM132C,transmembrane protein 132C precursor
NP_006724,CENPI,centromere protein I
NP_612641,HDGFL1,hepatoma-derived growth factor-like protein 1
NP_001032852,COL28A1,collagen alpha-1(XXVIII) chain precursor
NP_055938,FRMD4B,FERM domain-containing protein 4B
NP_001182225,,mirror-image polydactyly gene 1 protein
NP_000918,ABCB1,multidrug resistance protein 1
NP_001862,CPB1,carboxypeptidase B preproprotein
NP_940887,TPRG1,tumor protein p63-regulated gene 1 protein
NP_112583,PMFBP1,polyamine-modulated factor 1-binding protein 1 isoform a
NP_002334,LTF,lactotransferrin isoform 1 precursor
NP_061841,SNTG2,gamma-2-syntrophin
NP_006262,S100A1,protein S100-A1
NP_002955,S100A8,protein S100-A8
NP_714543,GSTA5,glutathione S-transferase A5
NP_065690,RIPK4,receptor-interacting serine/threonine-protein kinase 4
NP_005785,DHRS2,dehydrogenase/reductase SDR family member 2 isoform 2
NP_660157,DNAJB7,dnaJ homolog subfamily B member 7
NP_776245,TPPP2,tubulin polymerization-promoting protein family member 2
NP_878912,DHRS2,dehydrogenase/reductase SDR family member 2 isoform 1
NP_002999,SEMG2,semenogelin-2 precursor
NP_258259,KRT71,"keratin, type II cytoskeletal 71"
NP_001127846,SPATC1,speriolin isoform 2
XP_003960233,,PREDICTED: myomegalin-like isoform 1
NP_054858,SCN11A,sodium channel protein type 11 subunit alpha
NP_055006,SCN8A,sodium channel protein type 8 subunit alpha isoform 1
NP_002643,PIP,prolactin-inducible protein precursor
NP_065138,PLXDC1,plexin domain-containing protein 1 precursor
NP_008959,TRIM31,E3 ubiquitin-protein ligase TRIM31
NP_006505,SCN10A,sodium channel protein type 10 subunit alpha
NP_444507,CLIC6,chloride intracellular channel protein 6
NP_001167561,,sodium bicarbonate transporter-like protein 11 isoform 1
NP_001092874,SCN5A,sodium channel protein type 5 subunit alpha isoform c
XP_003403810,,PREDICTED: rootletin
NP_001159435,SCN1A,sodium channel protein type 1 subunit alpha isoform 1
NP_001120729,SLC39A10,zinc transporter ZIP10 precursor
NP_006542,SCGB1D2,secretoglobin family 1D member 2 precursor
NP_005509,HMGCS2,"hydroxymethylglutaryl-CoA synthase, mitochondrial isoform 1 precursor"
NP_277055,C19ORF33,immortalization up-regulated protein
NP_001164161,SCUBE2,"signal peptide, CUB and EGF-like domain-containing protein 2 isoform 2 precursor"
NP_005612,S100A12,protein S100-A12
NP_008853,SCN3A,sodium channel protein type 3 subunit alpha isoform 1
NP_000325,SCN4A,sodium channel protein type 4 subunit alpha
NP_004824,AIM2,interferon-inducible protein AIM2
NP_001159432,ALOXE3,epidermis-type lipoxygenase 3 isoform 1 precursor
NP_853515,KRT27,"keratin, type I cytoskeletal 27"
NP_004920,CALB1,calbindin
NP_002630,SERPINB5,serpin B5
NP_665736,GFRA1,GDNF family receptor alpha-1 isoform b preproprotein
NP_001138783,PLIN1,perilipin-1
NP_002353,MAGEA4,melanoma-associated antigen 4
NP_001128504,FAM176A,protein eva-1 homolog A
NP_002677,PNMT,phenylethanolamine N-methyltransferase
NP_005418,TP73,tumor protein p73 isoform a
NP_003216,TFF1,trefoil factor 1 precursor
NP_542193,BRI3BP,BRI3-binding protein precursor
NP_005255,GFRA1,GDNF family receptor alpha-1 isoform a preproprotein
NP_066287,SCN2A,sodium channel protein type 2 subunit alpha isoform 1
NP_001161362,EGFL6,epidermal growth factor-like protein 6 isoform 2 precursor
NP_666533,GSTM1,glutathione S-transferase Mu 1 isoform 2
NP_001035530,CCDC112,coiled-coil domain-containing protein 112 isoform 1 precursor
NP_000552,GSTM1,glutathione S-transferase Mu 1 isoform 1
NP_783302,CNTN4,contactin-4 isoform c
NP_001130,ALOX12B,"arachidonate 12-lipoxygenase, 12R-type"
NP_002605,PDZK1,Na(+)/H(+) exchange regulatory cofactor NHE-RF3 isoform 1
XP_003959988,,PREDICTED: golgin subfamily A member 8-like protein 2-like
NP_149022,KRT82,"keratin, type II cuticular Hb2"
NP_079195,FRMD1,FERM domain-containing protein 1 isoform 1
NP_001120852,SAA2,serum amyloid A-2 protein isoform b precursor
NP_001153651,NAT1,arylamine N-acetyltransferase 1 isoform a
NP_997222,PAGE2,P antigen family member 2
NP_001185982,,putative RNA exonuclease NEF-sp isoform 1
NP_001015038,PAGE2B,putative G antigen family E member 3
NP_066025,SCUBE2,"signal peptide, CUB and EGF-like domain-containing protein 2 isoform 1 precursor"
NP_001159349,,"ATP synthase subunit g 2, mitochondrial"
NP_001116539,MAPT,microtubule-associated protein tau isoform 5
NP_963890,CACNB2,voltage-dependent L-type calcium channel subunit beta-2 isoform 2
XP_003118566,,PREDICTED: rootletin
NP_690008,HIF3A,hypoxia-inducible factor 3-alpha isoform c
NP_001164432,IGSF1,immunoglobulin superfamily member 1 isoform 3 precursor
NP_001433,FABP4,"fatty acid-binding protein, adipocyte"
NP_001185624,,microfibril-associated glycoprotein 4 isoform 1 precursor
NP_963891,CACNB2,voltage-dependent L-type calcium channel subunit beta-2 isoform 4
NP_001073869,PLIN4,perilipin-4
NP_005321,HBE1,hemoglobin subunit epsilon
NP_055836,ZNF292,zinc finger protein 292
NP_001087199,,dystrotelin
NP_055835,PHLPP2,PH domain leucine-rich repeat-containing protein phosphatase 2
NP_001177370,,galectin-16
NP_003705,STC2,stanniocalcin-2 precursor
NP_690865,PYDC1,pyrin domain-containing protein 1
NP_001001414,NCCRP1,F-box only protein 50
NP_776159,ZCCHC12,zinc finger CCHC domain-containing protein 12
NP_002280,LALBA,alpha-lactalbumin precursor
NP_006840,PDIA2,protein disulfide-isomerase A2 precursor
NP_005555,LCN2,neutrophil gelatinase-associated lipocalin precursor
NP_002968,SCN9A,sodium channel protein type 9 subunit alpha
NP_996769,,coiled-coil domain-containing protein 18
NP_778223,KRT74,"keratin, type II cytoskeletal 74"
NP_058519,,microtubule-associated protein tau isoform 1
NP_001020279,AFF3,AF4/FMR2 family member 3 isoform 2
NP_004336,,cathelicidin antimicrobial peptide preproprotein
NP_000842,GSTM5,glutathione S-transferase Mu 5
NP_002635,PIGR,polymeric immunoglobulin receptor precursor
NP_085135,ASXL3,putative Polycomb group protein ASXL3
NP_058518,MAPT,microtubule-associated protein tau isoform 3
NP_001258635,,izumo sperm-egg fusion protein 3 precursor
NP_689540,AK7,adenylate kinase 7
NP_000082,COL4A3,collagen alpha-3(IV) chain precursor
NP_056382,SLITRK5,SLIT and NTRK-like protein 5 precursor
NP_148935,OGN,mimecan preproprotein
NP_001190181,,microtubule-associated protein tau isoform 8
NP_115928,SLITRK2,SLIT and NTRK-like protein 2 precursor
NP_000838,GSTA3,glutathione S-transferase A3
NP_065148,RETN,resistin precursor
NP_003970,GPRC5A,retinoic acid-induced protein 3
NP_008874,SOX12,transcription factor SOX-12
NP_000610,IFNG,interferon gamma precursor
NP_937790,ABHD15,abhydrolase domain-containing protein 15 precursor
NP_443175,FAM46B,protein FAM46B
NP_110422,STMN4,stathmin-4
NP_004369,CRABP1,cellular retinoic acid-binding protein 1
NP_000550,HBG1,hemoglobin subunit gamma-1
NP_078902,VTCN1,V-set domain-containing T-cell activation inhibitor 1 isoform 1 precursor
NP_001230696,,transcription factor BTF3 homolog 4 isoform 3
NP_006094,WFDC2,WAP four-disulfide core domain protein 2 precursor
NP_000837,GSTA2,glutathione S-transferase A2
NP_001073159,N4BP2L1,NEDD4-binding protein 2-like 1 isoform 2
NP_000175,HBG2,hemoglobin subunit gamma-2
NP_001138612,,putative uncharacterized protein CXorf49
NP_444513,DCD,dermcidin preproprotein
XP_003960166,,PREDICTED: peptidyl-prolyl cis-trans isomerase A-like
NP_001231693,,TNFAIP3-interacting protein 3 isoform 3
NP_006399,AGR2,anterior gradient protein 2 homolog precursor
NP_005208,DEFA3,neutrophil defensin 3 preproprotein
NP_665683,GSTA1,glutathione S-transferase A1
NP_001345,AKR1C2,aldo-keto reductase family 1 member C2 isoform 1
NP_001819,CLC,eosinophil lysophospholipase
NP_000917,PGR,progesterone receptor isoform B
NP_001493,GP2,pancreatic secretory granule membrane major glycoprotein GP2 isoform 2 precursor
NP_694941,KIF19,kinesin-like protein KIF19
NP_036233,TRIM29,tripartite motif-containing protein 29
NP_036246,CASP14,caspase-14 precursor
NP_002142,HPN,serine protease hepsin precursor
NP_004952,GABRE,gamma-aminobutyric acid receptor subunit epsilon precursor
NP_009231,BRCA1,breast cancer type 1 susceptibility protein isoform 2
NP_001193884,,contactin-4 isoform a precursor
NP_001266,CHGA,chromogranin-A preproprotein
NP_001138600,AKD1,adenylate kinase domain-containing protein 1 isoform 1
NP_066933,COL14A1,collagen alpha-1(XIV) chain precursor
NP_056127,KIAA1109,uncharacterized protein KIAA1109
NP_001810,CHGB,secretogranin-1 precursor
NP_005932,MMP16,matrix metalloproteinase-16 precursor
NP_002449,,mucin-5B precursor
XP_001724434,,PREDICTED: golgin subfamily A member 8H isoform 1
NP_789783,AGR3,anterior gradient protein 3 homolog precursor
NP_003761,KRT37,"keratin, type I cuticular Ha7"
NP_001258745,,DNA cross-link repair 1A protein
NP_003099,SOX11,transcription factor SOX-11
NP_064695,,aldo-keto reductase family 1 member B10
NP_694957,C8ORF84,somatomedin-B and thrombospondin type-1 domain-containing protein precursor
NP_001486,GFRA2,GDNF family receptor alpha-2 isoform a preproprotein
NP_001129737,IFFO2,intermediate filament family orphan 2
NP_001025031,FBXO43,F-box only protein 43
NP_665698,TTC21A,tetratricopeptide repeat protein 21A isoform 2
NP_000661,ADH4,alcohol dehydrogenase 4
NP_001129396,VWDE,von Willebrand factor D and EGF domain-containing protein precursor
NP_000841,GSTM4,glutathione S-transferase Mu 4 isoform 1
NP_033720,AOC2,retina-specific copper amine oxidase isoform b precursor
NP_078879,BEND5,BEN domain-containing protein 5
XP_003960903,,PREDICTED: aldo-keto reductase family 1 member C2-like isoform 3
NP_001257323,,cAMP-dependent protein kinase inhibitor beta isoform 2
NP_001073583,LDB3,LIM domain-binding protein 3 isoform 2
NP_001073954,,zinc finger protein 275
NP_001006659,CR2,complement receptor type 2 isoform 1 precursor
NP_110381,SAA2,serum amyloid A-2 protein isoform a precursor
NP_127509,PLAT,tissue-type plasminogen activator isoform 3 preproprotein
NP_057317,PADI3,protein-arginine deiminase type-3
NP_113601,CECR2,cat eye syndrome critical region protein 2
NP_071417,GAL3ST2,galactose-3-O-sulfotransferase 2
NP_001264237,,golgin subfamily A member 8O
NP_057051,PTPN22,tyrosine-protein phosphatase non-receptor type 22 isoform 1
NP_000178,HGD,"homogentisate 1,2-dioxygenase"
NP_068572,DNAJC12,dnaJ homolog subfamily C member 12 isoform a
NP_006084,PRG3,proteoglycan 3 precursor
NP_852091,CCDC39,coiled-coil domain-containing protein 39
NP_742086,,TNFSF12-TNFSF13 protein
NP_006409,OLFM4,olfactomedin-4 precursor
NP_660295,ZG16B,zymogen granule protein 16 homolog B precursor
NP_001001548,CD36,platelet glycoprotein 4
NP_004481,GRB14,growth factor receptor-bound protein 14
NP_001258,CHAD,chondroadherin precursor
NP_766638,SCUBE1,"signal peptide, CUB and EGF-like domain-containing protein 1 precursor"
NP_955387,ADAMTS18,A disintegrin and metalloproteinase with thrombospondin motifs 18 preproprotein
NP_694566,PLB1,"phospholipase B1, membrane-associated isoform 1 precursor"
NP_001882,CSN2,beta-casein precursor
NP_778232,RASGEF1C,ras-GEF domain-containing family member 1C
