feature,importance,gene_symbol,gene_name
NP_004354,0.001993972808122635,CEACAM5,carcinoembryonic antigen-related cell adhesion molecule 5 preproprotein
NP_001073869,0.001894854474812746,PLIN4,perilipin-4
NP_612412,0.0017809499986469746,MYL10,myosin regulatory light chain 10
NP_033720,0.0017761433264240623,AOC2,retina-specific copper amine oxidase isoform b precursor
NP_000414,0.0016009443206712604,KRT2,"keratin, type II cytoskeletal 2 epidermal"
NP_065737,0.001498719328083098,ABAT,"4-aminobutyrate aminotransferase, mitochondrial precursor"
NP_001033729,0.0014973526122048497,,Golgin subfamily A member 6A
NP_996846,0.0014887951547279954,RARRES1,retinoic acid receptor responder protein 1 isoform 1 precursor
NP_789783,0.0014763637445867062,AGR3,anterior gradient protein 3 homolog precursor
NP_002630,0.0014368275878950953,SERPINB5,serpin B5
NP_001302,0.0014181123115122318,CRIP1,cysteine-rich protein 1
NP_004824,0.0014147039037197828,AIM2,interferon-inducible protein AIM2
NP_001035972,0.0013857065932825208,,galectin-7
NP_005267,0.001372667495161295,GPD1,glycerol-3-phosphate dehydrogenase
NP_001035173,0.0013533629244193435,ANXA8,annexin A8 isoform 2
NP_000917,0.0013110943837091327,PGR,progesterone receptor isoform B
NP_002468,0.0013091068249195814,MYL5,myosin light chain 5
NP_001345,0.0013071313733235002,AKR1C2,aldo-keto reductase family 1 member C2 isoform 1
NP_003232,0.0012937284773215652,TGM4,protein-glutamine gamma-glutamyltransferase 4
NP_003285,0.001289726234972477,,tryptase alpha/beta-1 precursor
NP_066025,0.001281876233406365,SCUBE2,"signal peptide, CUB and EGF-like domain-containing protein 2 isoform 1 precursor"
NP_127509,0.0012764555867761374,PLAT,tissue-type plasminogen activator isoform 3 preproprotein
NP_001001548,0.0012723780237138271,CD36,platelet glycoprotein 4
NP_003078,0.0012444880558177829,SNCG,gamma-synuclein
NP_005348,0.0012320495443418622,LIPE,hormone-sensitive lipase
NP_008872,0.0012166894739493728,SOX10,transcription factor SOX-10
NP_003725,0.001215971540659666,AOC3,membrane primary amine oxidase isoform 1
NP_005555,0.0012120453175157309,LCN2,neutrophil gelatinase-associated lipocalin precursor
NP_004481,0.001210503396578133,GRB14,growth factor receptor-bound protein 14
NP_000659,0.001206813263706863,,alcohol dehydrogenase 1B
NP_003359,0.0011991107603535056,USP1,ubiquitin carboxyl-terminal hydrolase 1
NP_001159435,0.0011956378584727645,SCN1A,sodium channel protein type 1 subunit alpha isoform 1
NP_059118,0.0011719833128154278,CALML5,calmodulin-like protein 5
NP_001486,0.001168922521173954,GFRA2,GDNF family receptor alpha-2 isoform a preproprotein
NP_001092315,0.0011601769365370274,,annexin A8-like protein 1 isoform 1
XP_003119575,0.0011588995112106204,,PREDICTED: prothymosin alpha-like
NP_036469,0.0011510805925354362,CCDC19,"coiled-coil domain-containing protein 19, mitochondrial precursor"
XP_001126659,0.001144337933510542,PTMA,PREDICTED: prothymosin alpha-like
NP_003467,0.0011434619082137942,CSRP3,cysteine and glycine-rich protein 3
NP_660295,0.0011425327975302935,ZG16B,zymogen granule protein 16 homolog B precursor
NP_078879,0.0011393694439902902,BEND5,BEN domain-containing protein 5
NP_665906,0.0011357901385053992,HMGA1,high mobility group protein HMG-I/HMG-Y isoform a
NP_001809,0.001132110133767128,,aldo-keto reductase family 1 member C4
NP_778223,0.0011121054412797093,KRT74,"keratin, type II cytoskeletal 74"
NP_001138483,0.0010998245561495423,,putative uncharacterized protein C16orf96
NP_115927,0.0010987690184265375,TTBK1,tau-tubulin kinase 1
NP_055072,0.0010970582952722907,CLEC4M,C-type lectin domain family 4 member M isoform 1
NP_006542,0.0010907348478212953,SCGB1D2,secretoglobin family 1D member 2 precursor
NP_055835,0.0010883997892960906,PHLPP2,PH domain leucine-rich repeat-containing protein phosphatase 2
NP_001207423,0.0010796525748446584,,glycine N-acyltransferase-like protein 1 isoform 2
NP_828847,0.001077467342838645,CYP4X1,cytochrome P450 4X1
NP_002677,0.0010770962107926607,PNMT,phenylethanolamine N-methyltransferase
NP_001433,0.001066525699570775,FABP4,"fatty acid-binding protein, adipocyte"
NP_000086,0.0010529233841225505,COMP,cartilage oligomeric matrix protein precursor
