,NP_057427,NP_002408,NP_000415,NP_000413,NP_000517,NP_004439,NP_005219,NP_058519,NP_058518,NP_001116539,NP_061155,NP_001035932,NP_077006,NP_000917,NP_065178,NP_006836,NP_006614,NP_001784,NP_006092,NP_001153651,NP_001159403,NP_000116,NP_004314,NP_060601,NP_005931,NP_003003,NP_113611,NP_002002,NP_004487,NP_008950,NP_114172,NP_001062,NP_001444,NP_057547,NP_054895,NP_001246,NP_055606,NP_036451,NP_000624,NP_569082,NP_001159,NP_001229,NP_002458,PAM50 mRNA
TCGA-AO-A0J6,-0.075089966,-1.159168275,0.650452028,0.498003515,0.66174451,-2.062566865,-0.394102593,-1.015189124,-0.893794939,-0.913556783,-2.401341337,-1.08859026,-1.08859026,0.819839263,0.356847486,0.111235994,0.650452028,-1.018012245,-2.08515183,2.242692044,-1.255154375,0.125351597,-0.498558055,-1.667329982,-0.09767493,5.819585839,1.158613735,0.263684506,-0.385633231,-3.109944606,-0.611482879,-1.616513811,0.04334317550000001,-0.577605432,-2.003281333,-4.278716533,-0.125906136,-3.451542199,-0.176722307,1.567966221,-0.859917491,1.029442255,-2.035926581,Basal-like
TCGA-BH-A18Q,-0.179342115,-1.46396875,2.182497478,2.319658135,2.399947299,-5.187378761,-1.922286065,-7.70310592,-8.218294727,-8.18818629,-1.233137402,-4.10682042,-4.10682042,-6.719563653,0.516497312,0.181959126,1.352842777,1.52011187,0.014690033,-4.233944931,-1.156193619,-5.214141816,-1.159539001,-1.109358273,-0.132506769,7.418020091,-2.036029048,2.282858934,-5.548680002,-0.480426483,-0.590824084,1.219027502,0.760710188,-2.624816256,-0.717948595,0.539914985,0.001308505,-0.641004812,-0.627623285,-0.538113013,-0.88856307,-3.581595468,-2.035926581,Basal-like
TCGA-A2-A0CM,2.160157445,2.62302061,4.768354646,0.63932133,4.933662919,-4.419111833,-0.271710932,-6.013418291,-6.013418291,-6.318320217,2.277709995,-4.029719011,-4.029719011,-6.509343111,1.906684759,2.215260203,-1.601524152,1.63117097,2.013216757,-6.395464078,0.584218573,-4.937077756,-0.433345688,3.126292464,-1.182743193,0.286663681,0.980958428,1.509944903,-4.433805902,2.549550266,2.733226126,0.896467533,1.576068212,-1.292948709,3.541399906,3.177721705,-0.11405044,-1.792547046,-0.813991208,-0.538113013,2.516488612,2.556897301,-2.035926581,Basal-like
TCGA-A2-A0D2,2.249701721,3.576941032,2.169867778,2.968207212,0.543251179,-5.421009682,-1.206442749,-5.297932352,-5.277973866,-5.311238009,2.934943069,-5.567371911,-5.567371911,-5.287953109,1.198554799,3.264258086,2.44928658,2.332862079,3.60687876,-7.124133809,-0.853842832,-4.153645829,-2.417257558,-0.604361758,2.545752595,7.053043987,2.921637412,3.743261747,-6.269245331,2.376105465,2.781928011,6.836827057,2.898352512,-3.694600654,2.49585638,2.722052553,0.373604049,-1.342825736,-4.183583558,-2.88960839,3.487127845,1.029442255,-0.714133431,Basal-like
TCGA-AR-A1AS,-0.565545158,-0.781100888,-2.215783292,-2.689299159,-0.72102798,-3.6858027,-2.986130001,4.632528279,4.575989071,4.632528279,-0.30051762,0.893873149,0.893873149,2.568847187,-0.834106396,-0.646820269,1.275512803,-0.212175108,-1.551447598,-2.661029555,-1.91895245,0.466295388,-1.293487461,-0.236911011,2.565313486,-2.901321189,0.508699794,1.282580204,0.791395835,-1.996693861,-0.837640096,0.024582826,-1.470172486,-0.304051321,-0.894179305,-0.996656619,-2.145109282,1.46633263,-3.141612823,-0.908314107,-3.035601808,1.029442255,0.172998247,Luminal A
TCGA-C8-A12L,0.179349249,-0.692468346,1.60770449,-0.07287471,2.523387121,0.039529446,1.445952169,-4.116682734,-4.711602288,-4.68966977,2.646757535,-1.775386427,-1.772644862,-4.821264878,0.472696678,0.135484212,1.632378573,2.282129422,1.758490552,-3.302438,0.741370025,-3.982346061,-2.192104271,0.955212077,0.269820886,-3.691740196,1.149863175,3.321182467,-1.27642164,1.876377837,2.260196904,0.113551694,0.04334317550000001,-2.326440944,1.5446485,0.557685186,-0.226402336,0.894897652,-1.39705049,-0.58554732,-0.29768302,1.794130894,-5.015915977,HER2-enriched
TCGA-A2-A0YG,0.090859603,1.294576953,-2.80685323,-5.05198896,-3.202456965,5.767942272,-0.247263248,-3.303893821,-3.303893821,-3.527054902,2.657212043,1.220189926,1.176233955,-1.687666593,0.219346287,0.533800538,-0.095107965,-0.179638677,3.773017451,2.961522608,2.183840051,0.533800538,-1.001277205,-0.379131159,-1.180482316,1.152565356,4.168621186,0.974856205,0.932785502,0.834729876,1.254002211,-1.62680448,0.04334317550000001,-1.508461482,2.643687128,0.229489972,-1.275156715,-0.997895977,-2.495780207,-0.538113013,-0.033554307,1.673274546,-2.035926581,Luminal B
TCGA-C8-A135,-0.265890766,0.223625633,-3.754123011,-4.271024943,-2.165762107,3.886440649,-2.617623398,-4.890622623,-5.048089437,-5.280866466,-2.097298274,0.114083502,0.114083502,-4.401106224,1.319046946,-0.878642064,1.548400784,2.746517845,-3.268029803,-4.671538361,1.271122264,-2.590237865,-1.539318043,-2.34376807,-0.553438861,0.162008184,-1.207268458,3.431156166,-0.878642064,0.586483943,0.654947775,0.007964562,0.04334317550000001,-7.050656525,0.504327344,-0.6405220415,-0.11405044,-0.210764459,-0.813991208,-0.538113013,-0.033554307,1.029442255,-10.50123366,HER2-enriched
TCGA-AR-A0TT,-1.349875399,0.455181036,-7.449721282,-5.494548592,-5.1393955,-4.773258292,-5.293173127,-3.345323181,-3.414889251,-3.488116692,-0.749410378,-1.240034236,-1.280309329,-3.121979485,1.227730545,-0.137961241,-3.048752043,-1.723335351,-0.247802403,-2.173684116,-0.698151169,-1.31692305,-0.793346843,-0.167252217,-1.902742582,-2.451948394,-0.438193751,2.201655518,-0.196543194,-2.071165698,-0.910510749,-0.379611798,-0.258786519,1.106905266,-4.008031528,-1.236372864,-0.657876076,-1.221727376,-0.29540024,-0.538113013,-1.086256609,1.029442255,-2.035926581,Luminal B
TCGA-AN-A0FL,-0.342446826,0.69613663,-4.069529686,-3.87863032,-3.75818191,-1.396938562,1.834714991,-5.735353915,-5.778533534,-5.901254555,-0.081096503,-1.144678685,-1.081045563,-3.544556429,0.425695861,-0.251542366,3.743708651,2.33241691,0.171163373,-3.699094011,-1.75828379,-4.146798477,-0.001555101,0.298429617,-1.433300346,5.561797851,0.037079295,0.974856205,-2.753687627,-1.517386971,-0.44016912,-0.047007331,3.759616932,-1.967364048,-0.437896509,1.262016893,-0.11405044,0.889308607,-0.813991208,-0.538113013,0.24161433,1.029442255,-2.369616284,Basal-like
TCGA-AR-A1AW,-2.306877436,-1.650975857,-5.469260048,-7.948411849,-6.304753725,-2.529415471,-3.849026981,3.584524245,3.803158105,3.611853478,-3.860739509,-3.439088494,-3.439088494,1.624627861,1.972099531,-0.190814009,-3.638201474,-2.330302492,-1.670496737,-1.323025067,-1.576796512,-0.534381502,-2.455236126,0.203507774,-4.063756665,-4.809454293,-2.34201502,-0.069784551,-0.428968749,-1.857897188,-2.908120549,-0.835003059,0.04334317550000001,-0.346981051,0.691529782,-0.6405220415,-0.11405044,-0.210764459,-0.813991208,-0.538113013,-0.033554307,1.029442255,-0.143963896,Luminal A
TCGA-BH-A0E1,1.078860307,-0.95657335,-1.295088969,-2.024199533,-0.49219936,-2.566692512,-0.778635653,-4.697604934,-4.741004372,-4.810443473,1.070180419,0.644865924,0.644865924,3.995302562,0.302010361,0.150112327,0.853183228,-0.014805539,1.62569323,4.303438574,1.235098285,-2.831429086,4.017002281,0.501647777,-1.425287284,5.779019477,1.690792387,0.974856205,-0.249162506,-0.053865033,1.222078453,0.245591091,-0.665797114,-0.795995429,0.614486317,-1.008652676,-2.345355377,3.101274133,1.183018959,-0.538113013,1.434735701,1.029442255,-2.035926581,Luminal A
TCGA-C8-A138,-0.409316137,0.739025561,0.943825354,1.415596307,1.806910197,-0.504401755,-2.625542471,-5.284282645,-4.907597311,-5.309882619,1.272967879,0.329425974,0.329425974,-3.207027599,0.52325435,-1.634457758,-1.440629382,1.232739348,0.014912006,-1.510115026,-0.668973018,-3.693427108,0.219711799,0.56714002,0.735368422,-3.748284195,-0.690915853,-0.105773586,0.618339969,-0.17891637,-0.610458791,-0.153316395,2.461538108,-0.248402014,-0.295944823,-2.307371364,4.641193051,-1.79902902,-0.813991208,-0.538113013,-2.076971597,-0.851829976,1.554567595,HER2-enriched
TCGA-AO-A0JC,-2.308411653,-2.479849293,-4.512164585,-3.0128645,-3.736019635,-1.931248846,-2.87259734,3.458127135,3.645150015,3.710608023,-3.224823764,1.254374203,1.282427635,-1.644480431,1.298012875,-1.850205598,-5.070116176,1.338534499,-1.644480431,3.230582632,-2.25230479,3.271104255,2.03675325,-0.936910536,-2.592063021,-2.292826413,-0.09219053,-4.066426722,0.185226742,-3.019098596,-0.44016912,2.710035617,0.04334317550000001,1.796740554,-3.025332692,-0.6405220415,0.437707629,-0.06102005,2.289234137,0.905264828,-0.033554307,1.029442255,-2.035926581,Luminal B
TCGA-AR-A1AP,-2.509488288,-3.610008016,-2.575684963,-1.950953839,-0.089172343,-3.862382841,-3.175592334,-1.028337675,-0.982827461,-1.007651214,-2.521900164,-0.515313441,-0.515313441,-3.9906389,1.454037653,-0.974552876,0.667952132,-1.363458345,-3.212827964,-1.015925799,-0.912493493,-0.937317247,-0.486352395,-1.760638397,0.581068996,-1.119358104,0.932738834,1.305095133,-0.180192772,-2.207465956,-2.923217509,-2.070935313,0.04334317550000001,0.622441918,-2.75772582,-3.854108257,-1.102808935,-0.039524836,-3.01837523,1.933963549,-2.604646008,1.029442255,-2.035926581,Luminal A
TCGA-A7-A13F,0.73680908,0.371207719,-1.336271165,-2.308529729,-0.641226819,-2.300494535,-2.336652911,-2.513427195,-2.513427195,-2.53753278,0.913583364,2.761678156,2.761678156,-0.179203121,0.32299655,0.102028695,-4.092342963,-0.504628509,0.79707304,1.849683552,1.628715696,-2.758500635,3.838394252,1.785401994,1.496134983,-2.360758495,0.314961355,0.974856205,-0.725596364,3.022821985,1.291237517,1.158656804,-3.618266473,2.850065298,0.407366095,0.704668301,0.572087587,2.323760042,-0.938529025,-0.538113013,0.310943758,1.029442255,-2.035926581,Luminal B
